unigram	frequency
eldest	8
possible	8
din	8
quiet	8
settled	8
headland	8
complain	8
manes	8
issue	8
entertained	8
gets	8
skilful	8
stalwart	8
menestheus	8
arming	8
difficulty	8
herbs	8
excelled	8
risen	8
sadly	8
notice	8
fellows	8
hanging	8
tripods	8
lightly	8
gasping	8
thousand	8
load	8
possessions	8
strung	8
sport	8
kills	8
caused	8
late	8
imperishable	8
weak	8
fish	8
disguised	8
boreas	8
firewood	8
piraeus	8
proceed	8
torches	8
herb	8
meadows	8
needs	8
basket	8
brow	8
grim	8
flayed	8
royal	8
pedasus	8
token	8
camped	8
agony	8
mix	8
hurry	8
dishonour	8
boot	8
dug	8
homestead	8
match	8
routed	8
nights	8
disaster	8
meadow	8
dashed	8
sort	8
fleece	8
boars	8
silly	8
beard	8
crashing	8
breathing	8
cauldrons	8
woollen	8
future	8
milked	8
whereby	8
brooding	8
conversation	8
empty	8
sorrowing	8
lain	8
valued	7
alpheus	7
wickedness	7
ashore	7
although	7
screaming	7
fewer	7
parnassus	7
exactly	7
amphimachus	7
tomorrow	7
ended	7
fifth	7
whither	7
loving	7
accord	7
wits	7
kindle	7
decide	7
harder	7
erewhile	7
dreadful	7
erebus	7
root	7
swept	7
start	7
serpent	7
ambush	7
breaks	7
peg	7
big	7
mecisteus	7
flood	7
measure	7
prince	7
happiness	7
unweariable	7
locks	7
boiling	7
doubted	7
simois	7
succeed	7
wonder	7
wasted	7
surpass	7
plough	7
sinews	7
graces	7
prosper	7
eurytus	7
pulled	7
violence	7
idle	7
embraces	7
leathern	7
tasted	7
infant	7
parted	7
kids	7
showered	7
talons	7
stirred	7
search	7
calchas	7
hippothous	7
deliver	7
dues	7
glittering	7
strap	7
knee	7
portions	7
portent	7
beats	7
plate	7
heights	7
godlike	7
granted	7
eupeithes	7
thinks	7
swim	7
wielding	7
amiss	7
reasonably	7
wield	7
horn	7
noman	7
eddying	7
geese	7
worsted	7
handsome	7
anoint	7
openly	7
lays	7
sell	7
ilus	7
stick	7
orderly	7
shrill	7
shooting	7
roast	7
bitterness	7
deer	7
fights	7
charybdis	7
surrounded	7
sacking	7
magnificent	7
beast	7
speeches	7
sensible	7
shaft	7
drives	7
pig	7
snake	7
task	7
taught	7
remains	7
astonished	7
rowing	7
building	7
lesbos	7
exhort	7
ewer	7
hatched	7
clytius	7
deceive	7
sally	7
thousands	7
undone	7
fated	7
entertain	7
orion	7
seventh	7
polypoetes	7
quivering	7
possessed	7
haven	7
rushing	7
pall	7
dived	7
jars	7
thracian	7
recognised	7
somewhere	7
blasts	7
hyrtacus	7
saving	7
hail	7
fashion	7
baskets	7
decreed	7
sudden	7
aiming	7
begged	7
fleetest	7
cowards	7
phaeacian	7
renown	7
murder	7
ancle	7
bargain	7
handmaids	7
swallow	7
rejoicing	7
ringing	7
sufficiently	7
thongs	7
landed	7
compare	7
thanks	7
swam	7
gathering	7
steal	7
heifers	7
phorcys	7
heaviness	7
chryses	7
direction	7
dew	7
perhaps	7
tros	7
heel	7
terribly	7
brunt	7
pillar	7
shrink	7
provisions	7
snowy	7
kindled	7
aesculapius	7
fondly	7
thundered	7
humour	7
attended	7
pretty	7
pavement	7
peers	7
metal	7
savour	7
fearing	7
hunger	7
roared	7
homes	7
polyphemus	7
capaneus	7
worst	7
trusty	7
colour	7
staunch	7
plotting	7
cook	7
foolish	7
everybody	7
elbow	7
flashed	7
generally	7
largest	7
scowled	7
anew	7
usual	7
epeus	7
parts	7
pirithous	7
reaching	7
abroad	7
boeotians	7
garment	7
awarded	7
ash	7
passage	7
finish	7
silent	7
sorts	7
antiphates	7
exchange	6
amends	6
lean	6
ordering	6
swift	6
starting	6
thickest	6
sufficient	6
wasting	6
wisest	6
mycene	6
outright	6
destroyed	6
doubling	6
alcimedon	6
neighbours	6
cooked	6
haunt	6
bringer	6
concerning	6
begat	6
chieftain	6
unable	6
heavenly	6
begrimed	6
beggars	6
pages	6
swerved	6
lusty	6
desperately	6
orsilochus	6
anxious	6
stripping	6
real	6
doughty	6
plague	6
exploit	6
esquire	6
leather	6
marched	6
foals	6
railing	6
mess	6
covering	6
duly	6
glare	6
stars	6
virtue	6
insulted	6
races	6
disc	6
applauded	6
aretus	6
screamed	6
fearfully	6
vex	6
faced	6
fashioned	6
dealt	6
smell	6
thin	6
mycenae	6
dardanian	6
noemon	6
